date,open,close,high,low,volume
2020-03-27,6695.064774884511,6695.030594927236,6861.4,6571.3,7348.871128450001
2020-03-28,6239.312504036944,6238.980991868562,6670.5,6050,16772.619504210004
2020-03-29,6137.060745493032,6136.848830123931,6280,5895.8,10656.79643689
2020-03-30,6230.218729090506,6230.579175977437,6589.7,5880.9,12169.06692460999
2020-03-31,6461.7870975301,6461.657343934861,6636,6349.7,6250.4737360900035
2020-04-01,6310.770678304038,6310.708097047579,6467.2,6180,8524.88314258001
2020-04-02,6713.430755540652,6713.635690828757,7283.5,6383.1,22614.850490480014
2020-04-03,6829.424690736916,6829.357813346659,7049.1,6623.3,10456.13834325999
2020-04-04,6770.762688213134,6770.91174784971,7014,6660,7008.802965680001
2020-04-05,6809.579173434087,6809.4828757175355,6917.9,6690.2,5689.912264240008
2020-04-06,7052.934585236477,7053.2941577370775,7317.2,6761,13706.090562319996
2020-04-07,7327.099773918258,7327.081537917298,7454.3,7088,12775.26266817002
2020-04-08,7288.922814950303,7288.999643431288,7420,7130,8158.893777990004
2020-04-09,7312.495205707718,7312.507345099952,7390.2,7117,7823.452141689997
2020-04-10,7011.786954136745,7011.487042929759,7321.3,6756.3,15839.79557514002
2020-04-11,6873.172899824527,6873.198994817152,6957.8,6780,3504.508430960001
2020-04-12,6935.359897138374,6935.547469941597,7192.5,6797.6,8568.36201134
2020-04-13,6762.127323308791,6761.893069007741,7155.8,6571.1,13244.252089099968
2020-04-14,6875.922675315121,6875.977110471776,6985,6762.6,4795.376239420002
2020-04-15,6822.145336224294,6822.02137547853,6940.6,6700,5318.131076740006
2020-04-16,6885.785735278394,6885.9613416096045,7166.4,6500.4,17383.667898169984
2020-04-17,7085.504557958743,7085.467160539485,7200,7010.2,5328.904643180013
2020-04-18,7148.348865452607,7148.468905048579,7284,7030.26207155,5108.157885680002
2020-04-19,7180.436542629029,7180.417906268654,7309.7,7056.9,5118.0275125299995
2020-04-20,7081.1742571327,7080.864844764833,7236.3,6766,9934.40369366999
2020-04-21,6864.151661267352,6864.138694932196,6958.8,6770.1,6327.990191080001
2020-04-22,6982.306753016654,6982.413636155232,7164,6826.178303700001,4790.061798660002
2020-04-23,7263.052489187637,7263.380420393425,7773.9,7042,16474.91370227999
2020-04-24,7531.867631043445,7531.7313399652785,7614,7420.1,9218.659047889998
2020-04-25,7535.750768137062,7535.725572703163,7700,7450,5229.475782779996
2020-04-26,7584.161245106548,7584.2141308276205,7697.8,7473.5,5022.864155880006
2020-04-27,7692.718731298916,7692.803181873159,7771.5,7578.7,7095.7141407199915
2020-04-28,7716.875128313993,7716.83023336146,7777.7,7655.8,5652.5558988600105
2020-04-29,8142.091857671485,8142.887792870536,8918,7705.1,29601.170262199998
2020-04-30,8890.89572158975,8890.874154177747,9441.90721684,8416,29491.929290879973
2020-05-01,8772.979843526466,8772.94812288495,9070,8597.2,8628.137004629996
2020-05-02,8860.980542160401,8860.963410770244,9004.043244,8756.2,5314.804183610004
2020-05-03,8983.050126145648,8983.027512832276,9198,8738,9553.029526109996
2020-05-04,8762.712703530055,8762.766868638832,8961.8,8517,8853.714628210002
2020-05-05,8912.871684735985,8912.919478775171,9124.8,8758.6,8306.069207470026
2020-05-06,9123.446662509481,9123.65428600138,9387,8898.3,7186.690866649998
2020-05-07,9430.69621302422,9431.085941131201,9964,9029,18377.10392773002
2020-05-08,9909.529930300101,9909.642254104732,10045,9705,12338.447932939991
2020-05-09,9746.883450550726,9746.580995385975,10014,9463.99256,10943.986858720013
2020-05-10,8760.838185010225,8760.222092247019,9676.6,8101,26473.332989110015
2020-05-11,8710.387486986605,8710.312831998202,9142,8200,20856.236558769993
2020-05-12,8745.076866366013,8745.092225761384,8968,8498.61326339,5723.18210758
2020-05-13,8992.724110863128,8993.156599361453,9408,8741.2,9449.317615330006
2020-05-14,9536.642588733443,9536.99201119412,9938.7,9266.2,13153.202979570018
2020-05-15,9559.965502149924,9559.673848460136,9848.9,9130.2,11047.377434029999
2020-05-16,9402.303275876757,9402.372833592592,9580,9222,4705.675604430006
2020-05-17,9601.098802951754,9601.332449474114,9883.5,9329.7,8972.062712580006
2020-05-18,9719.353072910488,9719.256279741396,9944,9450,9636.71040400999
2020-05-19,9662.093515462426,9662.12891314928,9878,9457.8,5716.438305100005
2020-05-20,9684.003795639657,9683.876844328655,9842.7,9301,9565.875252330005
2020-05-21,9318.182281818381,9317.866385134063,9564.1,8815.3,11288.813495459981
2020-05-22,9121.23047269266,9121.32176104362,9269,8935.4,4092.925833290003
2020-05-23,9199.512188715664,9199.508660161839,9304,9072.8,2531.2090129000017
2020-05-24,9144.611944579334,9144.485562763843,9300,8859.2,5239.39857671
2020-05-25,8820.928146476477,8820.765319816828,9063.4,8620,6991.815344170007
2020-05-26,8867.918959641403,8867.832054522718,9013.3,8704.9,3981.487315080001
2020-05-27,9010.290599876584,9010.415685963582,9225,8811,5476.289412190012
2020-05-28,9290.57035977823,9290.798743866686,9529.5,9067.1,6967.311783320002
2020-05-29,9471.408218628714,9471.403367530947,9630.3,9352,4619.515693329996
2020-05-30,9497.622438367702,9497.684473791482,9612.4,9323.3,4769.85461057
2020-05-31,9565.442596875526,9565.463408899544,9750,9422,4616.459505810005
2020-06-01,9544.76203954517,9544.876848653896,9706.2,9402.6,5480.6856738400065
2020-06-02,9928.27393621118,9928.191168516903,10398,9150,29602.700727219977
2020-06-03,9548.802135429529,9548.809685374794,9640.8,9400,2727.3277625799965
2020-06-04,9686.986957781606,9687.12128808161,9882.1,9461.00275433,4359.19625815
2020-06-05,9755.446638839827,9755.364102301764,9865.8,9625.35925038,3632.2352963100047
2020-06-06,9637.124249979584,9637.174257773493,9742.3,9552.60822337,2066.9048079899994
2020-06-07,9612.371850227271,9612.404274501232,9814,9393.8,4647.698072420002
2020-06-08,9724.922624129911,9724.963706412931,9800,9647.1,2323.2488831300016
2020-06-09,9707.754019936061,9707.803290783651,9876,9577.9,3320.7094531400035
2020-06-10,9781.220399740312,9781.252055555055,10012,9661.6,4414.4412153999965
2020-06-11,9699.82994757876,9699.443730457699,9972.8,9084,15738.502925550003
